address,times of input,sum of btc
1GvuxXjW7CrG3GqPExRrfLh3n2QsE9b1Wj,1,0.01
1CC2HtnhqupuPFU2u84DvEvB7Ww2KTaS5L,1,0.01
1MvTDtbHEJBn4YgGftL2ejPMvtpE5FUwA5,1,0.03
3BMEXApXX4c6ykRjyM8NjgqXmznbYvxikV,1,0.0
19PXbJHNxotNsdHWdokStFaMZ4k4PexM2S,2,3.23
1PTamuhiUMxwnxtZE7P6fpiyQj9pPhMtCW,1,0.24
3LsRZ3ivyDzwW5tuhvd5DpCB4pz15P9FWK,1,0.03
1QHeNy5ZfCd28yj6Axw776AtkrAtPDeaZd,1,0.13
1HTh1NrcD8RUJbj4Fy5QWFgYsSRCq4GeQ9,1,0.06
3QJCq6ErMsecnWv6o6MU9N2sn6YJtbmTCe,1,0.0
1Ks9sXC6XxtkguuVA8kFtUtfPYb3mKqpav,1,5.99
38mnNyqdoseU799UDajBNVaA7fKBRygFnb,1,0.09
1CeJh7FdepHKxXPkvCEjsY7wtfZEfiCvFP,1,0.2
1Pmr814tNJPA9k3NobffQhh6g5CgmQjG6a,1,0.0
1LqQLaa5uBA4fBv6t3qmy29z86gjScptcB,1,0.39
1DbAucqd3emkuPjWXU9sgBJznsvF94r1eF,1,0.13
14D85hBBk7gqsRPz7xnCEuAzxZ3MRrzokV,1,0.99
1Bfk4JncF4BYDFvmNB8f9AnCTJkrhxw13n,1,0.02
1N5MVBmjCHD7eUpKZwWycpaT7mdF5KDtxf,1,0.07
3D2PtJ51jTrgvsTZ3JFUYbPrvBTBwRuzGL,1,0.2
14o5HjX7tRvCBttbkNb1pCRnJwYnVeuVFN,1,0.16
1PHrz2E5URHC7qWfDzDBZV72fxMyFnsKM1,1,0.09
387HTtW6H21RVZrVrMmqASsMBWkvKbkqhU,1,0.0
1CaVHRJedv2jGeV5T5bHqBASckV2s8XeFh,1,0.34
1GwVFYeJ4RRVfejp39YCUDX7qzQpePfSg7,1,0.13
16u8G1dcVqHMEJ2o8ceFJH8Msw37z7ScfD,1,0.07
3CHt3egswU6PcLScCtuwhhD9CZ3VJXfDHh,1,0.14
1NEJhv8e4BJn7yh5duMDya3JxZShrwYpkv,1,0.01
1JvpELYzSGqUqkEyfk7Hos3kdo8NZ6Hipx,1,0.38
128BGGRzkXx1bvT4oUiob4d8MemtkGpfgb,1,0.1
1HwdEBda8zN7a3D93UrhuiVL78CQ9XR2N4,1,0.08
3BMEXarrc7e1JYFLYY3fU8Ec9P7STd9M7j,1,0.01
17B2vgMEaqHPs3mJGgeRL2ysfV1DpTLhiw,2,22.16
1S3jzrMx4K2viU85MUDcohzP7UdhiwAeL,1,0.05
1EDd5mptchWWmSX4EE4vra2AU5oCZmm94Z,1,0.02
1FXC9xxHNSx2fD8JU76oZrUWJAu9FR8YHR,1,0.0
3AfUeFKCtWbfhkMSjWtr9ipQsf5DWjtAe9,1,0.07
1CpL6K8552Cp142Ui7ownqhXvNbwV1SGgj,1,0.02
1FoAfsRQeXxWd1GvEL2TKPEM84o1265nBq,1,0.0
12YzLBwnkM8CL11LecGfsi2WD5W4WfUhYC,1,0.1
1JTjR8Kegj6wBVkGan7iMvV8C5SHtupQJR,1,0.01
3BMEXt4idnMjW49hq8UxDBMzz9wwdPVBux,1,0.0
1NnXQyaLpv788qk6aqFRHJyttH6byZiCFT,1,0.21
3PeDTATZGbqrukm4WnYC5zeWKfERx7zYMH,1,0.09
1CikVpgyPSwgjDgHYUtgETG4yaprqRiga4,1,0.02
12AmitMjiiRXcyo1ZhJmagxE5RPS6quQ2d,1,0.45
12c5AsCeDoKcnoDMcJja1TECj9QoEWNjca,1,0.09
3LCihUxqCEA7fQyWCixoz92iKgUtXmvZhG,1,0.02
1CQ9yeKEKUuTBkDx1tDThTwCbn63AQjUrc,1,0.06
1Mh4tgCCmHczWgnDCbUqE6sWfHQyQo3yXm,1,1.55
13gT89KSeUihFwjyr9BJ5KRQuqmziW4MuC,1,0.04
12xbgrRsqQa6WZu9Km2T5ZGvXzinxwVXiz,1,0.16
1L1cysrCAuxN1GJoKw5x7ECMxDm5KnGH4E,1,0.1
13g6uuFsKDiSrzMja8wfE2sCidWNLSMZUs,2,0.08
3FHomwsFD9B8QHwdogdEGtHrNYuPZchGvV,1,0.99
17jJpdKREtsgPs7w3uh2cdYcDNNEK4DjDk,1,0.59
193FGg6nJCWAY5vRqfPHEKk99ZoRaD6VhZ,1,0.37
12YEVX7Bd3qFVPN9ngwbSkdAJLm5M2gJ6W,1,0.02
1Pj3KVbQctyoPQfaL9xACnjfHQHpXgXgKN,1,1.99
16wQdmgpA36CZmJuQbYmFDyzhsQaquBaYk,1,0.01
1FCho3s37LfAnBMwKTsGSyuFNFMHtZDBpk,1,0.0
1LHykQYJQh6maEt1mjKiTtuMoPC8YLj7Yf,1,0.99
36UFrKr8fa2jw6vtg6mt7na1mu9rWiTBHZ,1,0.02
16QmQFFhEhmQi9xHb8mbXropDC8XaxRvRc,1,0.03
1EDW1e3JWBSbdcCgMtbJGmQzZBz7W1z1iy,1,0.14
1EjfG9Rto4Q3prCf23uobZ7gR6d4pKgAG,1,0.02
1ERksaJWdQhpyTkZeu7z3yVYNjD9j1DKFB,1,0.1
1HdQBipTv7sLVXr6Uk3LN6w6ibtGAPiBVk,1,0.26
3BMEXRnPfTpVE5vy2qH1jRyUgZUoyDHMXM,1,0.09
3BDDAp9tTxCs4SBxjEKSQToWsmhGkUmogV,1,0.01
15qMFLyzJWfndBVyGcNt54Bbz9Ftc4E5Y8,1,0.39
1K7NneZgXEJ5z6PZ2Rtzb7pdABcBvUVqj9,1,0.13
1P1Z9hJtrmhyLtL1cgkiaXW6pFUZ9SJ7Vr,1,0.0
3BMEXD3mJpzfWfmke1HwpkAkHPrcsmvhiU,1,0.01
1EC56pzoPFXhD3JaN2ogzhAHfZL65NyApV,1,0.02
15eVh8mWmC7BpF7tLwvStcR85v8oyYYTuN,1,1.03
1ELpEvhuUv8iz43QJ4Rumh4e7sGvo8pNNQ,1,0.0
13VN3zw2GyYwtmjhGt6Yt2U88VvDfTPto7,1,3.99
1JdMxPa2ZhtmJpYr4Yufbd74Kqpgq4boca,1,0.02
1E8PGG5ddqDi1tj8K7yUFDxfQmB8RGCAKv,1,0.02
