2018-02-11 12:08:38 UTC
113ayvmufBf6KcJkcRwExMuubcvREX51e8,0.62
1Gzj7UR6CwiYmsgiLJhFnjaqdyRMZfot4Q,1.99
11UVRj5fa2w7HVgQ6XWjBYeJcTEXhZ9jN,13.99
12vt6Kua72QwvUUCrbrU6ciWeaxY6F8wUv,0.08
35BkCN1dpT1W2N4Cw9riYjY82CZmpd6UDt,0.02
13hh5T5XxVL5WG3xRkiEswBa2ssE4EpNEN,2.45
1GFBbuct8EM8Zzks4DbyzBuaPgbmu5SvEY,0.03
1Njca9iJvUAdAhJaGsgQfGsiUsvZjxepa7,0.13
1Bi1S8WJu8W1CRpzUPtBUmeB9kx2DMA1kt,0.14
16RH4TR4bDhFhK6rvsohbBnzGZ69wxmqRf,0.03
3BMEXdqBRiCzBzqq8cvUjGUqEw7JhQn3Tx,0.00
17c4WJ58UAW8LmFFptPkzxNk78zyyxsJVU,0.16
3LKz4vk5PfGjQH5hY2Z8s8EG7UPm9r189M,0.02
3A68vQRJKaVyRFm7oYfEgm4pbRGT3imHx9,0.00
114phAUkyXTh4AmdJxd1j9rhaGswMmGnnx,0.02
3BMEXoaQHfaj8zfh4CrJt6PjK5zzNNUgV9,0.08
12JtFuYrVitiF69wfEwtyEmbfKm8pfoQTj,0.05
3FXGSm7QCmLSFeH5KJHCTo7VFEkdnQyDuo,0.00
1MMyx9CVPRqU6C27KT4S3zAdQiFz22xPm7,0.05
16skMLNdp14p2uecCWzo5WLRUBNRdxTbit,0.37
3My1tChTBFMn12rWV7ZPcCJfVmUJzPPmGX,0.02
1PGBgHodw8xTximibP587jVPEfupoi5fYC,0.01
13qnfZuWw3VbVc542w5t7VTjbLGuwnDHok,0.70
1JY4y8bbWGcrAkpQ9Mqt4Qs1WEAZN1xuWs,0.00
1DdM1GrAPPVs54jifHF8kUpgPbNpp5hGpm,0.12
1Cihb8b9EeSp7JciPsuzB7JdKTW2EkNE5w,0.24
1AaGi8XCWhSzRHeHeoyqJC5doUNHMAKm7R,0.20
1Ps6Mbv3nidPYJgGPG5AFjYC4L5wcv2TLX,0.07
394o7HNgUQHuWA8okLBx8Ut26LhxAszgUK,0.40
33eq7AGwXe4XVGyXVDrgHCDEQefupM7c1B,0.73
19zWQnEApoySBGjGF6wkLcB49bXF73orFB,0.05
3PterHEWyvQo7hvmTJiLmTTAvXNym8VXkx,0.01
1Yf79xqkRhqn27zm64rhvfENkZbpQHgmL,0.17
1PQpWE4VDWtiKj2vQyRKbwPgge1vh2BKNv,0.02
34aFGQiLfuXtdDcBDfmnFZYZDyhMFMLSvT,0.00
36y2rgWvdtcmFxjWWnDiMJTdL4G4Pb1Nho,0.11
1R78GeMxuYbpcaXeEhMKcwdx6dYvLfhJq,6.41
1t2cdLfBkTfSGSFCBGsPYKL2tzhzzncof,0.15
3Jpqnrs8mSjBqyWBSxKekpJcJRZ9FY8zg6,0.03
15h35UUqWMwCYXjbzKF9mY5kc3npGUYvVG,0.02
3HvS8GhjL3Bbs8wBNHnMfRZTHNtvrMb8Uu,0.04
1CW4o4G6Bj5v3DgEXnFfkeRxGU87GH11oy,0.54
14vQpgPEMVcBpe96FkFeW2R1Cu88fCMGD7,0.59
3BMEXarrc7e1JYFLYY3fU8Ec9P7STd9M7j,0.01
1P5gsyD1Y8nS7K8yC8mu1TWhkj2qrRUAz9,12.51
34qTbNk2A1qSeUYSiX6VKomEdE5bpHjD7J,0.03
14PX8yrPgJG2Jijxszpf6BsvvDNpoBhttC,0.00
1QGLrMSby3NgvZGgFkJcaNoWmcwhUBSdzD,0.09
3BMEXasgs3GUzrqQYLW55jV2x1jts8vK7Z,0.01
3BMEX6ri8XaKVbEjcdxyUBXGYNnGjuDVsS,0.00
3BMEXwAAG4kNvjrhbm25Q1FJdKcWXNbg6a,0.00
1NjiS8E2972X9MT7spSXR2W9szx6zjVmWD,0.13
33H6hGfm4FiApBB9AnB96xPiWeWBnCiNV3,0.02
1D5DqTndGhcQ4sCzNx5UAAwQCBP5EFMqxp,0.00
3QicuVxWpTJ7VGuCRQ7NFPASjWaAYVs91H,0.02
3BpQqVtFQMAxTdPwkCrmRr24FAkWaW5Cn4,0.03
1JFTf9XzY2XoKe5hqRJSWrBNTJQce5fkNt,0.01
1CXeLy6J3BawZFpQuTjJrs2YvbHxR42Y6u,0.00
32LFyBKtGX3VfVFGeWo5VzAYnCuwpafSNP,0.10
155XuvTUDaWzKsAm12sea37SEFuKba3uMa,0.04
1HZVjgPzajg4tFjRX6e2M9tKtZforrftCi,0.21
1uyouv1kGD8PYAjUAF4YYRPgMQV3G62Sq,0.10
